date,coin,price,volume,market_cap,daily_return,volatility_30d,sharpe_30d
2024-10-03 00:00:00,BTC,60655.55979196848,41870731291.86736,1198652098493.4897,,,
2024-10-04 00:00:00,BTC,60727.86395169296,37711138441.76231,1200491237695.5154,0.001192045048672652,,
2024-10-05 00:00:00,BTC,62103.01047283253,30349059838.684578,1226663492771.043,0.02264440788224431,,
2024-10-06 00:00:00,BTC,62091.932585194016,11095453162.990673,1226761949791.163,-0.0001783792372410664,,
2024-10-07 00:00:00,BTC,62811.79972811266,14592422860.685436,1241834324867.657,0.011593569614392951,,
2024-10-08 00:00:00,BTC,62287.39010510681,33878876147.30253,1231091696620.0955,-0.008348902997140861,,
2024-10-09 00:00:00,BTC,62185.230423727575,28626429276.55382,1229717180592.4397,-0.0016401342423698617,,
2024-10-10 00:00:00,BTC,60597.15045618275,28530748117.898792,1197736450280.4102,-0.025537896325601883,,
2024-10-11 00:00:00,BTC,60195.18073772453,29481971885.649742,1189691671375.1472,-0.006633475591379279,,
2024-10-12 00:00:00,BTC,62392.34048293159,32008659336.482643,1233357176570.333,0.03650059221153068,,
2024-10-13 00:00:00,BTC,63207.77062127557,17665963646.417107,1249002272717.2275,0.013069394929447364,,
2024-10-14 00:00:00,BTC,62829.533686088886,16784552979.060463,1241241970951.0295,-0.005984025879554933,,
2024-10-15 00:00:00,BTC,66049.99492708022,46553796134.14602,1306085613997.8015,0.05125712466817767,,
2024-10-16 00:00:00,BTC,66962.21994496793,51797932876.82809,1323774576161.621,0.013811129264957867,,
2024-10-17 00:00:00,BTC,67647.54414766871,40640495380.19594,1337304399194.887,0.010234490482304848,,
2024-10-18 00:00:00,BTC,67328.10527002988,34512072357.92087,1330387728623.8188,-0.004722106052239328,,
2024-10-19 00:00:00,BTC,68465.61920668735,39984956633.228035,1353541799303.4875,0.016895083146856615,,
2024-10-20 00:00:00,BTC,68388.87128965274,14110889435.452631,1351942347611.1997,-0.0011209701734079536,,
2024-10-21 00:00:00,BTC,68962.82918045693,17253863432.786995,1362381684459.9053,0.008392562707655538,,
2024-10-22 00:00:00,BTC,67394.85775735618,40485496091.95008,1332326858574.4448,-0.022736471831771854,,
2024-10-23 00:00:00,BTC,67351.04793512498,31398389967.38113,1331426858508.4004,-0.0006500469574240997,,
2024-10-24 00:00:00,BTC,66683.96806542306,32676918488.059,1318285437546.2786,-0.009904521015685952,,
2024-10-25 00:00:00,BTC,68214.05205157402,35892606570.03549,1347888109010.5889,0.02294530500419234,,
2024-10-26 00:00:00,BTC,66585.66535501445,48426924850.053406,1313975091942.221,-0.023871719207186337,,
2024-10-27 00:00:00,BTC,67018.1650170265,21169467789.89267,1325192118637.2595,0.006495386953124127,,
2024-10-28 00:00:00,BTC,67938.55412885673,16533385730.434193,1343350549900.1233,0.013733427520678854,,
2024-10-29 00:00:00,BTC,69845.304531169,41990540384.96554,1380874923096.4146,0.02806580779885004,,
2024-10-30 00:00:00,BTC,72781.11308158132,65487782004.97014,1439310420089.3665,0.04203301238528079,,
2024-10-31 00:00:00,BTC,72342.62171127986,43498144313.67304,1431085552900.1965,-0.00602479615569973,,
2024-11-01 00:00:00,BTC,70264.99735573279,45907074188.570145,1390195908292.9321,-0.028719229499849952,,
2024-11-02 00:00:00,BTC,69507.92256395647,54863092261.31101,1374687306836.925,-0.010774565150034165,37.31051414171734,4.631033855341699
2024-11-03 00:00:00,BTC,69299.16036699413,14709379754.965973,1370516856365.7996,-0.003003430245958727,37.389257462196035,4.48475767078922
2024-11-04 00:00:00,BTC,68803.50626277467,37659435506.757034,1362302032218.0198,-0.00715238253385142,37.02147958922672,3.5500741459837877
2024-11-05 00:00:00,BTC,67793.29782704762,46183110993.79166,1340192510479.9568,-0.014682513880453385,37.54973868637952,3.0301755582605705
2024-11-06 00:00:00,BTC,69335.42553133758,40025021601.49395,1370963795352.6948,0.02274749501380202,38.06465936250925,3.345699442877954
2024-11-07 00:00:00,BTC,75620.88606963192,128492534668.23851,1496392703840.9058,0.09065294530360246,48.439659300156904,5.115749407997756
2024-11-08 00:00:00,BTC,75987.24178320667,66590396087.4524,1502620808927.6982,0.004844636615834119,48.350358412936195,5.288377818190638
2024-11-09 00:00:00,BTC,76550.0213845611,50687468387.720375,1514048743889.1255,0.007406238049277425,46.90339299445373,6.306089478934226
2024-11-10 00:00:00,BTC,76630.22631415377,31430906055.796104,1519470275068.1016,0.0010477453584205598,46.67560527794487,6.537086702156629
2024-11-11 00:00:00,BTC,80466.71654833542,93473126207.67865,1590846468754.067,0.05006497329726711,47.92791527594232,6.710615453369955
2024-11-12 00:00:00,BTC,88637.42000322911,133959805308.72511,1756619702929.0437,0.10154140501042619,57.829301133590775,7.422997443898289
2024-11-13 00:00:00,BTC,88264.59974582895,152356811694.44943,1741113172482.1243,-0.004206127134415483,57.76392610251876,7.468845934594048
2024-11-14 00:00:00,BTC,90488.10007497849,136046309843.60645,1790737763695.3328,0.025191303597959402,56.21896611285413,7.109992883881288
2024-11-15 00:00:00,BTC,87407.51273710128,99649391847.08359,1726797438787.217,-0.03404411558342624,58.350249016525915,5.85246118954245
2024-11-16 00:00:00,BTC,90947.97509443703,84382485697.84985,1799276211921.9302,0.04050524087082219,59.35428583322982,6.373962308383904
2024-11-17 00:00:00,BTC,90606.45489380708,49255174407.368774,1790415769635.4927,-0.003755116046017859,59.32430019194798,6.397015793220094
2024-11-18 00:00:00,BTC,89841.47194135105,48556083101.64749,1776887033229.9082,-0.008442918921754639,59.63253932826863,5.846985331505485
